n,k,repetition,centers_compromised,expected_result,actual_result,matches_expected,time_seconds
10,8,10,3,Fail,Fail,True,0.0024741999986872543
10,8,10,4,Fail,Fail,True,0.003554699997039279
10,8,10,5,Fail,Fail,True,0.004891100001259474
10,8,10,6,Fail,Fail,True,0.006239300000743242
10,8,10,7,Fail,Fail,True,0.007773400000587571
10,8,10,8,Decrypt,Decrypt,True,0.00947939999969094
10,8,10,9,Decrypt,Decrypt,True,0.011343899997882545
10,8,10,10,Decrypt,Decrypt,True,0.014168800000334159
10,10,1,0,Fail,Fail,True,3.9999940781854093e-07
10,10,1,1,Fail,Fail,True,0.0006238999994820915
10,10,1,2,Fail,Fail,True,0.0014991000025474932
10,10,1,3,Fail,Fail,True,0.0025138999990304
10,10,1,4,Fail,Fail,True,0.0037169999995967373
10,10,1,5,Fail,Fail,True,0.004889499999990221
10,10,1,6,Fail,Fail,True,0.006202399999892805
10,10,1,7,Fail,Fail,True,0.00778800000261981
10,10,1,8,Fail,Fail,True,0.009520999999949709
10,10,1,9,Fail,Fail,True,0.0115096999979869
10,10,1,10,Decrypt,Decrypt,True,0.01367009999739821
10,10,2,0,Fail,Fail,True,2.999986463692039e-07
10,10,2,1,Fail,Fail,True,0.000603899999987334
10,10,2,2,Fail,Fail,True,0.0016022000017983373
10,10,2,3,Fail,Fail,True,0.0024738000029174145
10,10,2,4,Fail,Fail,True,0.0035518000004231
10,10,2,5,Fail,Fail,True,0.0048480000004929025
10,10,2,6,Fail,Fail,True,0.006258699999307282
10,10,2,7,Fail,Fail,True,0.007823699997970834
10,10,2,8,Fail,Fail,True,0.009545000000798609
10,10,2,9,Fail,Fail,True,0.011377599999832455
10,10,2,10,Decrypt,Decrypt,True,0.013443499999993946
10,10,3,0,Fail,Fail,True,4.00003045797348e-07
10,10,3,1,Fail,Fail,True,0.0006237999987206422
10,10,3,2,Fail,Fail,True,0.001500599999417318
10,10,3,3,Fail,Fail,True,0.002659900001162896
10,10,3,4,Fail,Fail,True,0.003509399997710716
10,10,3,5,Fail,Fail,True,0.004801299997780006
10,10,3,6,Fail,Fail,True,0.006319100000837352
10,10,3,7,Fail,Fail,True,0.007723200000327779
10,10,3,8,Fail,Fail,True,0.009667499998613494
10,10,3,9,Fail,Fail,True,0.011476200001197867
10,10,3,10,Decrypt,Decrypt,True,0.013481799996952759
10,10,4,0,Fail,Fail,True,2.999986463692039e-07
10,10,4,1,Fail,Fail,True,0.0006460000004153699
10,10,4,2,Fail,Fail,True,0.0014910999998392072
10,10,4,3,Fail,Fail,True,0.0024451999997836538
10,10,4,4,Fail,Fail,True,0.003613799999584444
10,10,4,5,Fail,Fail,True,0.004948599998897407
10,10,4,6,Fail,Fail,True,0.006279100001847837
10,10,4,7,Fail,Fail,True,0.008221000000048662
10,10,4,8,Fail,Fail,True,0.00952060000054189
10,10,4,9,Fail,Fail,True,0.011562200001208112
10,10,4,10,Decrypt,Decrypt,True,0.013535499998397427
10,10,5,0,Fail,Fail,True,5.000001692678779e-07
10,10,5,1,Fail,Fail,True,0.0006671000010101125
10,10,5,2,Fail,Fail,True,0.0015406999991682824
10,10,5,3,Fail,Fail,True,0.0028364999998302665
10,10,5,4,Fail,Fail,True,0.0040793000007397495
10,10,5,5,Fail,Fail,True,0.004945600001519779
10,10,5,6,Fail,Fail,True,0.006667800000286661
